Designator,Mid X,Mid Y,Layer,Rotation
C101,140.600000,-22.600000,Bottom,180.000
C102,140.600000,-28.100000,Bottom,180.000
C103,157.600000,-20.100000,Top,0.000
C104,148.100000,-28.100000,Bottom,180.000
C201,57.500000,-119.100000,Bottom,270.000
C202,52.000000,-119.100000,Bottom,270.000
C203,42.600000,-98.700000,Top,0.000
C204,52.000000,-126.600000,Bottom,270.000
D10,76.600000,-21.600500,Bottom,180.000
D11,93.600000,-17.600500,Bottom,180.000
D12,110.600000,-19.600500,Bottom,180.000
D13,127.600000,-19.600500,Bottom,180.000
D15,42.600000,-40.600500,Bottom,180.000
D16,59.600000,-40.600500,Bottom,180.000
D17,76.600000,-38.600500,Bottom,180.000
D18,93.600000,-34.600500,Bottom,180.000
D19,110.600000,-36.600500,Bottom,180.000
D20,127.600000,-36.600500,Bottom,180.000
D22,42.600000,-57.600500,Bottom,180.000
D23,59.600000,-57.600500,Bottom,180.000
D24,76.600000,-55.600500,Bottom,180.000
D25,93.600000,-51.600500,Bottom,180.000
D26,110.600000,-53.600500,Bottom,180.000
D27,127.600000,-53.600500,Bottom,180.000
D28,144.600000,-57.600500,Bottom,180.000
D29,42.600000,-74.600500,Bottom,180.000
D30,59.600000,-74.600500,Bottom,180.000
D31,76.600000,-72.600500,Bottom,180.000
D32,93.600000,-68.600500,Bottom,180.000
D33,110.600000,-70.600500,Bottom,180.000
D34,127.600000,-70.600500,Bottom,180.000
D35,144.600000,-74.600500,Bottom,180.000
D43,160.400000,-99.700500,Bottom,180.000
D44,143.400000,-99.700500,Bottom,180.000
D45,126.400000,-97.700500,Bottom,180.000
D46,109.400000,-93.700500,Bottom,180.000
D47,92.400000,-95.700500,Bottom,180.000
D48,75.400000,-95.700500,Bottom,180.000
D50,160.400000,-116.700500,Bottom,180.000
D51,143.400000,-116.700500,Bottom,180.000
D52,126.400000,-114.700500,Bottom,180.000
D53,109.400000,-110.700500,Bottom,180.000
D54,92.400000,-112.700500,Bottom,180.000
D55,75.400000,-112.700500,Bottom,180.000
D57,160.400000,-133.700500,Bottom,180.000
D58,143.400000,-133.700500,Bottom,180.000
D59,126.400000,-131.700500,Bottom,180.000
D60,109.400000,-127.700500,Bottom,180.000
D61,92.400000,-129.700500,Bottom,180.000
D62,75.400000,-129.700500,Bottom,180.000
D63,58.400000,-133.700500,Bottom,180.000
D64,160.400000,-150.700500,Bottom,180.000
D65,143.400000,-150.700500,Bottom,180.000
D69,75.400000,-146.700500,Bottom,180.000
D70,58.400000,-150.700500,Bottom,180.000
D8,42.600000,-23.600500,Bottom,180.000
D9,59.600000,-23.600500,Bottom,180.000
R101,157.600000,-22.600000,Top,0.000
R102,144.100000,-21.100000,Bottom,180.000
R201,43.600000,-96.100000,Top,0.000
R202,59.000000,-122.600000,Bottom,270.000
U102,144.100000,-25.100000,Bottom,180.000
U103,148.100000,-25.100000,Bottom,180.000
U202,55.000000,-122.600000,Bottom,270.000
U203,55.000000,-126.600000,Bottom,270.000
