Designator,Mid X,Mid Y,Layer,Rotation
C101,118.500000,-50.100000,Bottom,180.000
C102,118.500000,-55.600000,Bottom,180.000
C103,135.500000,-47.600000,Top,0.000
C104,126.000000,-55.600000,Bottom,180.000
D10,54.500000,-49.100500,Bottom,180.000
D11,71.500000,-45.100500,Bottom,180.000
D12,88.500000,-47.100500,Bottom,180.000
D13,105.500000,-47.100500,Bottom,180.000
D15,20.500000,-68.100500,Bottom,180.000
D16,37.500000,-68.100500,Bottom,180.000
D17,54.500000,-66.100500,Bottom,180.000
D18,71.500000,-62.100500,Bottom,180.000
D19,88.500000,-64.100500,Bottom,180.000
D20,105.500000,-64.100500,Bottom,180.000
D22,20.500000,-85.100500,Bottom,180.000
D23,37.500000,-85.100500,Bottom,180.000
D24,54.500000,-83.100500,Bottom,180.000
D25,71.500000,-79.100500,Bottom,180.000
D26,88.500000,-81.100500,Bottom,180.000
D27,105.500000,-81.100500,Bottom,180.000
D28,122.500000,-85.100500,Bottom,180.000
D29,20.500000,-102.100500,Bottom,180.000
D30,37.500000,-102.100500,Bottom,180.000
D31,54.500000,-100.100500,Bottom,180.000
D32,71.500000,-96.100500,Bottom,180.000
D33,88.500000,-98.100500,Bottom,180.000
D34,105.500000,-98.100500,Bottom,180.000
D35,122.500000,-102.100500,Bottom,180.000
D8,20.500000,-51.100500,Bottom,180.000
D9,37.500000,-51.100500,Bottom,180.000
R101,135.500000,-50.100000,Top,0.000
R102,122.000000,-48.600000,Bottom,180.000
U102,122.000000,-52.600000,Bottom,180.000
U103,126.000000,-52.600000,Bottom,180.000
