Designator,Mid X,Mid Y,Layer,Rotation
C201,54.400000,-145.500000,Bottom,270.000
C202,48.900000,-145.500000,Bottom,270.000
C203,39.500000,-125.100000,Top,0.000
C204,48.900000,-153.000000,Bottom,270.000
D43,157.300000,-126.100500,Bottom,180.000
D44,140.300000,-126.100500,Bottom,180.000
D45,123.300000,-124.100500,Bottom,180.000
D46,106.300000,-120.100500,Bottom,180.000
D47,89.300000,-122.100500,Bottom,180.000
D48,72.300000,-122.100500,Bottom,180.000
D50,157.300000,-143.100500,Bottom,180.000
D51,140.300000,-143.100500,Bottom,180.000
D52,123.300000,-141.100500,Bottom,180.000
D53,106.300000,-137.100500,Bottom,180.000
D54,89.300000,-139.100500,Bottom,180.000
D55,72.300000,-139.100500,Bottom,180.000
D57,157.300000,-160.100500,Bottom,180.000
D58,140.300000,-160.100500,Bottom,180.000
D59,123.300000,-158.100500,Bottom,180.000
D60,106.300000,-154.100500,Bottom,180.000
D61,89.300000,-156.100500,Bottom,180.000
D62,72.300000,-156.100500,Bottom,180.000
D63,55.300000,-160.100500,Bottom,180.000
D64,157.300000,-177.100500,Bottom,180.000
D65,140.300000,-177.100500,Bottom,180.000
D69,72.300000,-173.100500,Bottom,180.000
D70,55.300000,-177.100500,Bottom,180.000
R201,40.500000,-122.500000,Top,0.000
R202,55.900000,-149.000000,Bottom,270.000
U202,51.900000,-149.000000,Bottom,270.000
U203,51.900000,-153.000000,Bottom,270.000
